pull #, date,Accessories,Books,Bags,Cellphones,Clothing,Money,Eletronics,Entrainment,Glasses,Shoes,Household Items,indentification,Jewlery,Keys,Medical Equipment,Miscellaneous,Instruments,NYCT Equipment,Sports Equipment,Tickets,Tools,Toys,Wallets/Purses
193,2015-04-22,13676,12338,43149,73054,23700,34074,9874,2834,9569,5488,2066,132273,6011,13182,6039,37031,503,363,1265,34835,827,1289,233618
194,2015-04-23,13694,12358,43210,73102,23733,34116,9891,2836,9582,5492,2069,132441,6016,13195,6046,37101,503,364,1266,34877,827,1290,233926
195,2015-04-24,13694,12358,43210,73102,23733,34116,9891,2836,9582,5492,2069,132441,6016,13195,6046,37101,503,364,1266,34877,827,1290,233926
196,2015-04-25,13694,12358,43210,73106,23733,34116,9891,2836,9582,5492,2069,132447,6016,13195,6046,37101,503,364,1266,34877,827,1290,233932
197,2015-04-26,13694,12358,43210,73106,23733,34116,9891,2836,9582,5492,2069,132447,6016,13195,6046,37101,503,364,1266,34877,827,1290,233932
198,2015-04-27,13694,12358,43210,73106,23733,34116,9891,2836,9582,5492,2069,132447,6016,13195,6046,37101,503,364,1266,34877,827,1290,233932
199,2015-04-28,13707,12370,43265,73208,23766,34154,9904,2837,9602,5496,2072,132584,6021,13205,6060,37148,503,364,1270,34920,832,1290,234197
200,2015-04-29,13707,12370,43265,73208,23766,34154,9904,2837,9602,5496,2072,132584,6021,13205,6060,37148,503,364,1270,34920,832,1290,234197
201,2015-04-30,13718,12382,43293,73258,23797,34178,9915,2838,9605,5501,2073,132709,6023,13215,6064,37179,505,364,1270,34952,832,1294,234407
202,2015-05-03,13733,12401,43343,73338,23829,34215,9925,2840,9614,5510,2076,132869,6025,13223,6071,37234,505,364,1270,34999,832,1300,234692
203,2015-05-04,13738,12402,43352,73358,23844,34222,9933,2841,9618,5511,2076,132898,6028,13226,6071,37241,505,364,1270,35009,833,1301,234746
204,2015-05-10,13785,12446,43492,73620,23926,34380,9968,2845,9642,5534,2082,133565,6044,13257,6088,37416,506,364,1274,35175,838,1302,235829
205,2015-05-11,13785,12446,43492,73620,23926,34380,9968,2845,9642,5534,2082,133565,6044,13257,6088,37416,506,364,1274,35175,838,1302,235829
206,2015-05-13,13815,12465,43571,73778,23979,34446,9991,2847,9659,5545,2084,133881,6056,13300,6101,37490,508,364,1276,35260,841,1306,236383
207,2015-05-14,13815,12465,43571,73778,23979,34446,9991,2847,9659,5545,2084,133881,6056,13300,6101,37490,508,364,1276,35260,841,1306,236383
208,2015-05-15,13826,12477,43614,73826,23997,34488,9998,2847,9669,5550,2086,134046,6058,13316,6107,37541,509,365,1277,35306,842,1306,236673
209,2015-05-16,13827,12477,43615,73864,23997,34504,9998,2847,9669,5550,2086,134129,6059,13318,6107,37546,509,365,1277,35328,842,1306,236786
210,2015-05-17,13827,12477,43615,73864,23997,34504,9998,2847,9669,5550,2086,134129,6059,13318,6107,37546,509,365,1277,35328,842,1306,236786
211,2015-05-18,13827,12477,43615,73864,23997,34504,9998,2847,9669,5550,2086,134129,6059,13318,6107,37546,509,365,1277,35328,842,1306,236786
212,2015-05-19,13833,12478,43626,73906,24010,34513,10002,2847,9677,5551,2087,134173,6061,13327,6107,37559,509,365,1278,35341,845,1306,236871
213,2015-05-20,13852,12500,43677,74028,24048,34550,10026,2848,9702,5563,2090,134334,6075,13339,6109,37609,509,366,1278,35397,846,1308,237170
214,2015-05-21,13852,12500,43677,74028,24048,34550,10026,2848,9702,5563,2090,134334,6075,13339,6109,37609,509,366,1278,35397,846,1308,237170
215,2015-05-22,13856,12507,43702,74102,24066,34577,10032,2849,9712,5569,2092,134554,6077,13359,6111,37646,511,366,1278,35467,846,1311,237526
216,2015-05-23,13860,12510,43724,74112,24087,34607,10034,2850,9716,5572,2094,134770,6088,13370,6114,37680,511,366,1278,35508,847,1312,237844
217,2015-05-24,13860,12510,43724,74112,24087,34607,10034,2850,9716,5572,2094,134770,6088,13370,6114,37680,511,366,1278,35508,847,1312,237844
218,2015-05-25,13860,12510,43724,74112,24087,34607,10034,2850,9716,5572,2094,134770,6088,13370,6114,37680,511,366,1278,35508,847,1312,237844
219,2015-05-26,13860,12510,43724,74112,24087,34607,10034,2850,9716,5572,2094,134770,6088,13370,6114,37680,511,366,1278,35508,847,1312,237844
220,2015-05-28,13864,12515,43739,74182,24102,34628,10041,2850,9716,5572,2094,134831,6088,13375,6117,37695,512,366,1278,35532,849,1312,237955
221,2015-05-29,13866,12526,43779,74228,24122,34655,10056,2853,9733,5576,2097,134952,6095,13396,6124,37728,512,366,1281,35561,849,1312,238176
222,2015-05-30,13885,12551,43848,74336,24168,34693,10067,2853,9737,5588,2098,135136,6095,13403,6130,37785,512,367,1283,35605,849,1316,238481
223,2015-05-31,13885,12551,43848,74336,24168,34693,10067,2853,9737,5588,2098,135136,6095,13403,6130,37785,512,367,1283,35605,849,1316,238481
224,2015-06-01,13889,12560,43870,74360,24183,34703,10074,2853,9743,5595,2100,135151,6100,13407,6133,37816,512,367,1283,35616,850,1316,238551
225,2015-06-02,13892,12565,43891,74428,24199,34726,10079,2853,9745,5597,2102,135258,6100,13409,6133,37838,513,367,1286,35646,850,1316,238716
226,2015-06-03,13897,12569,43920,74510,24215,34770,10092,2855,9751,5600,2103,135447,6106,13430,6138,37868,514,367,1286,35692,850,1316,239014
227,2015-06-04,13897,12569,43920,74510,24215,34770,10092,2855,9751,5600,2103,135447,6106,13430,6138,37868,514,367,1286,35692,850,1316,239014
228,2015-06-05,13901,12572,43936,74554,24222,34797,10099,2855,9760,5602,2103,135603,6107,13438,6144,37890,514,368,1290,35729,851,1316,239250
229,2015-06-06,13908,12576,43954,74640,24236,34825,10101,2856,9764,5603,2103,135738,6109,13442,6146,37918,518,368,1290,35770,851,1316,239466
230,2015-06-07,13908,12576,43954,74640,24236,34825,10101,2856,9764,5603,2103,135738,6109,13442,6146,37918,518,368,1290,35770,851,1316,239466
231,2015-06-08,13908,12576,43954,74640,24236,34825,10101,2856,9764,5603,2103,135738,6109,13442,6146,37918,518,368,1290,35770,851,1316,239466
232,2015-06-09,13910,12576,43961,74680,24241,34835,10105,2856,9768,5603,2103,135792,6110,13445,6146,37926,518,369,1291,35783,851,1316,239547
233,2015-06-10,13914,12588,43988,74760,24254,34870,10110,2857,9776,5604,2105,135941,6110,13460,6148,37955,518,369,1298,35823,851,1317,239790
234,2015-06-11,13920,12591,44010,74810,24260,34899,10111,2857,9779,5611,2110,136027,6114,13465,6150,37978,518,369,1299,35847,852,1317,239936
235,2015-06-12,13938,12610,44071,74916,24313,34942,10125,2857,9804,5625,2110,136200,6125,13488,6161,38037,519,370,1302,35892,854,1318,240266
236,2015-06-13,13944,12614,44092,74918,24328,34947,10128,2857,9806,5627,2110,136230,6130,13490,6163,38057,519,370,1303,35896,854,1318,240330
237,2015-06-14,13944,12614,44092,74918,24328,34947,10128,2857,9806,5627,2110,136230,6130,13490,6163,38057,519,370,1303,35896,854,1318,240330
238,2015-06-15,13944,12614,44092,74918,24328,34947,10128,2857,9806,5627,2110,136230,6130,13490,6163,38057,519,370,1303,35896,854,1318,240330
239,2015-06-16,13947,12618,44099,74960,24332,34957,10134,2857,9816,5628,2110,136287,6132,13501,6163,38068,519,370,1303,35907,854,1318,240422
240,2015-06-17,13954,12624,44119,75022,24346,34985,10139,2857,9825,5630,2111,136448,6133,13503,6169,38082,519,370,1306,35939,854,1318,240641
241,2015-06-18,13973,12643,44182,75174,24399,35062,10149,2857,9838,5639,2111,136859,6152,13521,6178,38145,519,370,1306,36065,855,1319,241289
242,2015-06-19,13973,12643,44182,75174,24399,35062,10149,2857,9838,5639,2111,136859,6152,13521,6178,38145,519,370,1306,36065,855,1319,241289
243,2015-07-06,14035,12683,44395,75660,24538,35285,10231,2863,9879,5671,2126,137885,6184,13591,6211,38350,520,371,1314,36349,858,1330,242963
244,2015-07-07,14035,12683,44395,75660,24538,35285,10231,2863,9879,5671,2126,137885,6184,13591,6211,38350,520,371,1314,36349,858,1330,242963
245,2015-07-08,14036,12684,44412,75720,24545,35309,10233,2863,9880,5675,2126,138042,6191,13596,6215,38361,520,372,1314,36390,858,1332,243191
246,2015-07-09,14043,12690,44435,75778,24556,35341,10240,2864,9891,5679,2127,138169,6194,13612,6220,38376,520,372,1316,36412,858,1334,243383
247,2015-11-30,14645,13244,46899,81116,26221,37873,10939,2949,10558,6054,2290,150251,6607,14520,6632,40573,549,404,1413,39437,946,1426,262758
248,2015-12-01,14650,13245,46918,81172,26235,37899,10947,2949,10560,6057,2291,150366,6612,14528,6634,40588,549,404,1413,39464,946,1426,262930
249,2015-12-02,14651,13246,46920,81194,26237,37906,10948,2949,10561,6057,2291,150401,6612,14530,6635,40593,550,404,1413,39470,946,1426,262980
250,2015-12-03,14656,13252,46940,81242,26245,37933,10952,2949,10566,6060,2292,150519,6619,14537,6638,40606,550,404,1413,39496,949,1427,263158
251,2015-12-04,14666,13258,46982,81314,26271,37970,10964,2950,10576,6068,2293,150722,6628,14565,6641,40639,550,404,1413,39553,949,1429,263493
